,id,duration_months,credit_amount,installment_rate,present_residence_since,age_years,number_existing_credits,checking_status,credit_history,purpose,savings_account,present_employment_since,debtors_guarantors,property,installment_plans,housing,job,number_people_liable,telephone,foreign_worker,gender,label_value,score
55,900,16,2625,2,4,43,1,A11,A34,A40,A61,A75,A103,A122,A141,A151,A173,1,A192,A201,male,1,1
56,187,16,1175,2,3,68,3,A12,A34,A40,A61,A71,A101,A123,A143,A153,A171,1,A192,A201,male,0,1
57,32,18,5866,2,2,30,2,A12,A32,A40,A62,A73,A101,A123,A143,A152,A173,1,A192,A201,male,0,1
58,559,18,1928,2,2,31,2,A12,A34,A42,A61,A72,A101,A121,A143,A152,A172,1,A191,A201,male,1,0
59,324,18,1028,4,3,36,2,A14,A34,A40,A61,A73,A101,A121,A143,A152,A173,1,A191,A201,female,0,0
60,88,18,2249,4,3,30,1,A11,A32,A40,A62,A74,A101,A123,A143,A152,A174,2,A192,A201,male,0,1
61,184,18,884,4,4,36,1,A12,A34,A40,A61,A75,A101,A123,A141,A152,A173,2,A192,A201,male,1,1
62,425,18,2779,1,3,21,1,A12,A32,A41,A61,A73,A101,A123,A143,A151,A173,1,A192,A201,male,0,1
63,539,18,3049,1,1,45,1,A13,A32,A42,A61,A72,A101,A122,A142,A152,A172,1,A191,A201,female,0,1
64,166,18,1131,4,2,33,1,A11,A32,A42,A61,A71,A101,A123,A143,A152,A173,1,A191,A201,female,1,1
65,381,18,12976,3,4,38,1,A12,A32,A41,A61,A71,A101,A124,A143,A153,A174,1,A192,A201,female,1,1
66,37,18,2100,4,2,37,1,A13,A32,A43,A61,A73,A102,A121,A142,A152,A173,1,A191,A201,male,1,1
67,42,18,6204,2,4,44,1,A12,A33,A45,A61,A73,A101,A121,A143,A152,A172,2,A192,A201,male,0,0
68,977,18,2427,4,2,42,2,A12,A33,A49,A65,A75,A101,A122,A143,A152,A173,1,A191,A201,male,0,0
69,894,18,1169,4,3,29,2,A14,A34,A43,A65,A73,A101,A122,A143,A152,A173,1,A192,A201,male,0,0
70,866,18,2389,4,1,27,1,A11,A32,A43,A61,A72,A101,A123,A142,A152,A173,1,A191,A201,female,0,1
71,161,18,1055,4,1,30,2,A14,A34,A40,A61,A72,A101,A122,A143,A152,A173,1,A191,A201,female,0,0
72,585,18,2039,1,4,20,1,A11,A32,A42,A61,A73,A101,A121,A141,A151,A173,1,A191,A201,female,1,1
73,427,18,1149,4,3,46,2,A14,A34,A43,A64,A73,A101,A121,A143,A152,A173,1,A191,A201,male,0,0
74,342,18,3213,1,3,25,1,A12,A32,A43,A63,A72,A101,A121,A143,A151,A173,1,A191,A201,male,0,1
75,282,18,1445,4,4,49,1,A13,A31,A43,A65,A74,A101,A123,A141,A152,A172,1,A191,A201,male,0,0
76,400,18,1473,3,4,39,1,A14,A32,A43,A61,A72,A101,A121,A143,A152,A173,1,A192,A201,male,0,0
77,343,18,4439,1,1,33,1,A12,A32,A49,A61,A75,A102,A121,A141,A152,A174,1,A192,A201,male,0,1
78,390,18,1820,2,2,30,1,A14,A32,A40,A61,A73,A101,A122,A143,A152,A174,1,A192,A201,male,0,0
79,82,18,1568,3,4,24,1,A14,A32,A49,A62,A73,A101,A122,A143,A151,A172,1,A191,A201,female,0,0
80,199,18,4297,4,3,40,1,A12,A33,A42,A61,A75,A101,A124,A143,A152,A174,1,A192,A201,male,1,1
81,149,18,1582,4,4,46,2,A14,A34,A43,A64,A75,A101,A123,A143,A152,A173,1,A191,A201,male,0,0
82,143,18,2462,2,2,22,1,A11,A32,A42,A61,A73,A101,A123,A143,A152,A173,1,A191,A201,male,1,1
83,459,18,4594,3,2,32,1,A14,A32,A43,A61,A72,A101,A123,A143,A152,A173,1,A192,A201,male,0,0
84,521,18,3190,2,2,24,1,A11,A32,A43,A61,A73,A101,A121,A143,A152,A173,1,A191,A201,female,1,1
85,824,18,3780,3,2,35,2,A14,A34,A42,A61,A72,A101,A123,A143,A152,A174,1,A192,A201,male,0,0
86,475,18,3114,1,4,26,1,A11,A30,A42,A61,A72,A101,A122,A143,A151,A173,1,A191,A201,female,1,1
87,598,18,2775,2,2,31,2,A14,A34,A40,A61,A74,A101,A122,A141,A152,A173,1,A191,A201,male,1,0
88,543,18,2864,2,1,34,1,A13,A32,A42,A61,A73,A101,A121,A143,A152,A172,2,A191,A201,male,1,1
89,417,18,8471,1,2,23,2,A11,A33,A46,A65,A73,A101,A123,A143,A151,A173,1,A192,A201,female,0,1
90,401,18,1887,4,4,28,2,A12,A34,A49,A65,A73,A101,A121,A141,A152,A173,1,A191,A201,male,0,0
91,369,18,3001,2,4,40,1,A12,A32,A42,A61,A74,A101,A121,A143,A151,A173,1,A191,A201,female,0,1
92,352,18,3229,2,4,38,1,A14,A34,A41,A65,A71,A101,A124,A143,A152,A174,1,A192,A201,male,0,0
93,846,18,6761,2,4,68,2,A14,A32,A40,A65,A73,A101,A123,A143,A151,A173,1,A191,A201,male,1,0
94,899,18,4153,2,3,42,1,A11,A32,A42,A61,A73,A102,A123,A143,A152,A173,1,A191,A201,male,1,1
95,948,18,1533,4,1,43,1,A14,A32,A42,A61,A72,A102,A122,A143,A152,A172,2,A191,A201,male,1,1
96,779,18,3872,2,4,67,1,A12,A32,A45,A61,A71,A101,A123,A143,A152,A173,1,A192,A201,female,0,1
97,853,18,1442,4,4,32,2,A11,A31,A40,A61,A74,A101,A124,A143,A153,A172,2,A191,A201,male,1,1
98,556,18,2278,3,3,28,2,A12,A30,A40,A62,A72,A101,A123,A143,A152,A173,1,A191,A201,female,1,1
99,53,18,3378,2,1,31,1,A14,A32,A41,A65,A73,A101,A122,A143,A152,A173,1,A192,A201,male,0,0
100,831,18,1216,4,3,23,1,A11,A32,A40,A61,A72,A101,A123,A143,A151,A173,1,A192,A201,female,1,1
101,761,18,2124,4,4,24,2,A11,A34,A42,A61,A73,A101,A121,A143,A151,A173,1,A191,A201,female,1,1
102,631,18,1553,4,3,44,1,A11,A31,A42,A61,A73,A101,A123,A141,A152,A173,1,A191,A201,male,1,1
103,498,18,1301,4,2,32,1,A12,A32,A43,A61,A75,A103,A121,A143,A152,A172,1,A191,A201,male,0,0
104,112,18,6260,3,3,28,1,A12,A32,A40,A61,A74,A101,A121,A143,A151,A172,1,A191,A201,male,0,1
105,189,18,3244,1,4,33,2,A12,A30,A42,A61,A73,A101,A123,A141,A152,A173,1,A192,A201,female,0,1
106,360,18,1239,4,4,61,1,A12,A32,A46,A65,A73,A101,A124,A143,A153,A173,1,A191,A201,male,0,1
107,719,20,6148,3,4,31,2,A12,A30,A41,A62,A75,A101,A123,A141,A152,A173,1,A192,A201,male,0,0
108,442,20,2629,2,3,29,2,A12,A33,A410,A61,A73,A101,A123,A141,A152,A173,1,A192,A201,male,0,1
109,662,21,2241,4,2,50,2,A14,A32,A42,A61,A75,A101,A121,A143,A152,A173,1,A191,A201,male,0,0
110,179,21,571,4,4,65,2,A11,A34,A40,A61,A75,A101,A121,A143,A152,A173,1,A191,A201,male,0,0
111,712,21,2476,4,4,46,1,A14,A32,A41,A65,A75,A101,A121,A143,A152,A174,1,A192,A201,male,0,0
112,896,21,2606,4,4,28,1,A11,A32,A43,A61,A72,A101,A122,A143,A151,A174,1,A192,A201,female,0,1
113,845,21,3976,2,3,35,1,A12,A32,A42,A65,A74,A101,A123,A143,A152,A173,1,A192,A201,male,0,0
114,742,21,3160,4,3,41,1,A14,A32,A43,A65,A75,A101,A122,A143,A152,A173,1,A192,A201,male,0,0
115,961,21,2353,1,4,47,2,A12,A33,A40,A61,A73,A101,A122,A143,A152,A173,1,A191,A201,male,0,1
116,423,21,1591,4,3,34,2,A14,A33,A42,A62,A74,A101,A121,A143,A152,A174,1,A191,A201,male,0,0
117,825,21,1602,4,3,30,2,A11,A34,A40,A61,A75,A101,A123,A143,A152,A173,1,A192,A201,male,0,1
118,763,21,12680,4,4,30,1,A14,A34,A40,A65,A75,A101,A124,A143,A153,A174,1,A192,A201,male,1,0
119,748,21,5248,1,3,26,1,A14,A32,A41,A65,A73,A101,A123,A143,A152,A173,1,A191,A201,male,0,0
120,120,21,1835,3,2,25,2,A11,A32,A43,A61,A73,A101,A121,A143,A152,A173,1,A192,A201,female,1,0
121,786,22,2675,3,4,40,1,A14,A32,A43,A63,A75,A101,A123,A143,A152,A173,1,A191,A201,male,0,0
122,872,24,1382,4,1,26,2,A11,A34,A49,A62,A74,A101,A121,A143,A152,A173,1,A192,A201,male,0,0
123,770,24,2812,2,4,26,1,A11,A32,A41,A65,A75,A101,A121,A143,A151,A173,1,A191,A201,female,0,0
124,560,24,2964,4,4,49,1,A11,A32,A41,A65,A75,A101,A124,A141,A153,A173,2,A192,A201,male,0,1
125,839,24,2611,4,3,46,2,A14,A34,A43,A61,A75,A102,A121,A143,A152,A173,1,A191,A201,male,0,0
126,154,24,6967,4,4,36,1,A12,A33,A49,A62,A74,A101,A123,A143,A151,A174,1,A192,A201,male,0,1
127,579,24,937,4,3,27,2,A14,A32,A48,A61,A72,A101,A123,A143,A152,A172,1,A191,A201,male,0,0
128,547,24,1552,3,1,32,1,A14,A32,A43,A61,A74,A101,A123,A141,A152,A173,2,A191,A201,male,0,0
129,410,24,1967,4,4,20,1,A12,A32,A43,A61,A75,A101,A123,A143,A152,A173,1,A192,A201,female,0,0
130,198,24,2760,4,4,36,1,A12,A32,A41,A65,A75,A101,A124,A141,A153,A173,1,A192,A201,male,0,1
131,15,24,1282,4,2,32,1,A11,A32,A43,A62,A73,A101,A123,A143,A152,A172,1,A191,A201,female,1,1
132,731,24,1987,2,4,21,1,A11,A32,A43,A61,A73,A101,A121,A143,A151,A172,2,A191,A201,male,1,1
133,963,24,2397,3,2,35,2,A14,A32,A43,A63,A75,A101,A123,A141,A152,A173,1,A192,A201,male,1,0
134,235,24,1823,4,2,30,1,A11,A32,A43,A61,A71,A101,A123,A142,A152,A174,2,A191,A201,male,1,1
135,830,24,2375,4,2,44,2,A14,A33,A49,A63,A73,A101,A123,A143,A152,A173,2,A192,A201,male,0,0
136,327,24,1525,4,3,34,1,A14,A32,A40,A64,A74,A101,A123,A143,A152,A173,2,A192,A201,female,0,0
137,533,24,1311,4,3,26,1,A14,A32,A43,A62,A74,A101,A122,A143,A152,A173,1,A192,A201,male,0,0
138,453,24,2670,4,4,35,1,A14,A32,A41,A61,A75,A101,A123,A143,A152,A174,1,A192,A201,male,0,0
139,605,24,2828,4,4,22,1,A11,A31,A42,A63,A73,A101,A121,A142,A152,A173,1,A192,A201,male,0,1
140,781,24,1940,4,4,60,1,A14,A34,A40,A64,A75,A101,A121,A143,A152,A173,1,A192,A201,male,0,0
141,847,24,1249,4,2,28,1,A14,A32,A40,A61,A72,A101,A121,A143,A152,A173,1,A191,A201,male,0,0
142,755,24,1285,4,4,32,1,A11,A32,A40,A65,A74,A101,A124,A143,A151,A173,1,A191,A201,female,1,1
143,718,24,3148,3,2,31,2,A13,A34,A43,A65,A73,A101,A123,A143,A152,A173,1,A192,A201,male,0,0
144,577,24,1927,3,2,33,2,A14,A34,A46,A65,A73,A101,A123,A143,A152,A173,1,A192,A201,female,0,0
145,884,24,4057,3,3,43,1,A12,A32,A42,A61,A74,A101,A123,A143,A152,A173,1,A192,A201,male,1,1
146,289,24,1024,4,4,48,1,A11,A33,A43,A61,A72,A101,A121,A142,A152,A173,1,A191,A201,male,1,1
147,405,24,2039,1,1,22,1,A12,A32,A43,A61,A72,A101,A122,A143,A152,A173,1,A192,A201,male,1,1
148,83,24,1755,4,4,58,1,A11,A32,A410,A61,A75,A103,A121,A143,A152,A172,1,A192,A201,female,0,1
149,924,24,6872,2,1,55,1,A11,A31,A42,A61,A72,A101,A122,A141,A152,A173,1,A192,A201,male,1,1
150,100,24,1469,4,4,41,1,A14,A32,A40,A62,A75,A101,A121,A143,A151,A172,1,A191,A201,male,0,0
151,503,24,1216,4,4,38,2,A12,A34,A43,A62,A72,A101,A124,A141,A152,A173,2,A191,A201,male,1,1
152,678,24,2384,4,4,64,1,A11,A32,A43,A61,A75,A101,A121,A141,A151,A172,1,A191,A201,male,0,1
153,798,24,717,4,4,54,2,A14,A33,A40,A65,A75,A101,A123,A143,A152,A173,1,A192,A201,male,0,0
154,4,24,4870,3,4,53,2,A11,A33,A40,A61,A73,A101,A124,A143,A153,A173,2,A191,A201,male,1,1
155,702,24,1377,4,2,47,1,A13,A32,A43,A62,A75,A101,A124,A143,A153,A173,1,A192,A201,female,0,0
156,168,24,3972,2,4,25,1,A14,A32,A42,A61,A74,A101,A122,A143,A151,A173,1,A192,A201,female,0,0
157,534,24,3105,4,2,25,2,A14,A32,A43,A65,A72,A101,A123,A143,A152,A173,1,A191,A201,male,0,0
158,593,24,2718,3,4,20,1,A12,A32,A40,A61,A73,A101,A122,A143,A151,A172,1,A192,A201,female,1,1
159,13,24,1199,4,4,60,2,A11,A34,A40,A61,A75,A101,A123,A143,A152,A172,1,A191,A201,male,1,1
160,793,24,2892,3,4,51,1,A13,A32,A42,A61,A75,A101,A124,A143,A153,A173,1,A191,A201,male,0,1
161,51,27,5965,1,2,30,2,A12,A33,A41,A61,A75,A101,A123,A143,A152,A174,1,A192,A201,male,0,0
162,212,27,5293,2,4,50,2,A11,A30,A49,A61,A71,A101,A122,A142,A152,A173,1,A192,A201,male,1,1
163,863,27,4526,4,2,32,2,A14,A34,A42,A64,A72,A101,A121,A142,A152,A172,2,A192,A201,male,0,0
164,359,30,2406,4,4,23,1,A11,A32,A42,A61,A74,A101,A121,A143,A151,A173,1,A191,A201,female,1,1
165,658,30,4221,2,1,28,2,A12,A30,A49,A61,A73,A101,A123,A143,A152,A173,1,A191,A201,female,0,1
